,country,JavaScript,SQL,Java,C#,Python,PHP,C++,C,TypeScript,VBA,id,edu_index
183,Djibouti,,,,,,,,,,,DJI,0.31
184,Mali,,,,,,,,,,,MLI,0.312
185,British Indian Ocean Territory,,,,,,,,,,,IOT,0.0
186,Northern Mariana Islands,1.0,1.0,,,,,,,,,MNP,0.0
187,Saint Vincent & Grenadines,,1.0,1.0,,,1.0,,,,,,0.0
188,Martinique (French),1.0,,,,,,,,,,,0.0
189,Burundi,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,BDI,0.395
190,Cook Islands,,,,,,,,,,,COK,0.0
191,Yemen,1.0,2.0,2.0,1.0,1.0,1.0,2.0,,,,YEM,0.35
192,Turkmenistan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,TKM,0.629
193,Macau,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,0.0
194,Chad,,,1.0,,,,,,,,TCD,0.28
195,Falkland Islands,,1.0,,1.0,,,,,,,FLK,0.0
196,Montserrat,1.0,,1.0,,,,,,,,MSR,0.0
197,Christmas Island,,,,,,,,,,,CXR,0.0
198,Heard and McDonald Islands,,,,,,,,,,,,0.0
199,Comoros,,1.0,,,,1.0,,,,1.0,COM,0.469
200,Saint Helena,1.0,,1.0,,,,,,,,,0.0
